n,time_ms,status,solver
8,261,SOLVED,org.minizinc.mip.coin-bc
10,152,SOLVED,org.minizinc.mip.coin-bc
15,162,SOLVED,org.minizinc.mip.coin-bc
20,191,SOLVED,org.minizinc.mip.coin-bc
25,183,SOLVED,org.minizinc.mip.coin-bc
30,209,SOLVED,org.minizinc.mip.coin-bc
40,256,SOLVED,org.minizinc.mip.coin-bc
50,512,SOLVED,org.minizinc.mip.coin-bc
60,937,SOLVED,org.minizinc.mip.coin-bc
70,936,SOLVED,org.minizinc.mip.coin-bc
80,1205,SOLVED,org.minizinc.mip.coin-bc
90,1485,SOLVED,org.minizinc.mip.coin-bc
100,2473,SOLVED,org.minizinc.mip.coin-bc
