n,boolean_time,boolean_status,integer_time,integer_status,qubo_solution_time,qubo_total_time,qubo_status,ls_time,ls_success,ls_iterations
8,0.314,SOLVED,0.137,SOLVED,0.085933,8.692371845245361,SOLVED,0.0036258697509765625,100.0,5.6
10,0.156,SOLVED,0.115,SOLVED,0.058688,8.735891819000244,SOLVED,0.0019388198852539062,100.0,6.1
15,0.168,SOLVED,0.114,SOLVED,0.067797,8.319682836532593,SOLVED,0.0019379854202270508,100.0,8.1
20,0.22,SOLVED,0.118,SOLVED,0.053827,8.84533405303955,SOLVED,0.002686619758605957,100.0,10.0
25,0.185,SOLVED,0.12,SOLVED,0.063018,8.724970817565918,SOLVED,0.003684258460998535,100.0,13.1
30,0.209,SOLVED,0.125,SOLVED,0.063317,8.943911790847778,SOLVED,0.006881928443908692,100.0,14.6
40,0.258,SOLVED,0.132,SOLVED,0.069925,9.818613052368164,SOLVED,0.012528181076049805,100.0,18.1
50,0.522,SOLVED,0.146,SOLVED,0.095124,10.145385026931763,SOLVED,0.024274802207946776,100.0,23.4
60,0.929,SOLVED,0.156,SOLVED,0.099594,9.963102340698242,SOLVED,0.03324854373931885,100.0,26.3
70,0.952,SOLVED,0.174,SOLVED,0.124463,14.094475030899048,SOLVED,0.05033607482910156,100.0,32.2
80,1.206,SOLVED,0.193,SOLVED,0.101275,14.697529792785645,SOLVED,0.07305395603179932,100.0,37.1
90,1.458,SOLVED,0.218,SOLVED,0.1193,13.242334842681885,SOLVED,0.10024144649505615,100.0,41.9
100,2.44,SOLVED,0.243,SOLVED,0.145171,33.08353590965271,SOLVED,0.13021430969238282,100.0,44.7
